kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
Stencil1D.1.sm_86.ptx 104 : 1024 5120 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 101 : 1024 14048 0 0 0 128 32 0 0 
Stencil1D.1.sm_86.ptx 100 : 1024 9440 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 99 : 1024 6784 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 98 : 1024 6848 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 97 : 1024 9376 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 96 : 1024 33792 0 32 32 0 0 0 0 
Stencil1D.1.sm_86.ptx 56 : 21 4998 0 0 0 3 3 0 0 
Stencil1D.1.sm_86.ptx 54 : 28 35 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 53 : 28 140 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 52 : 28 168 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 49 : 996 4980 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 48 : 1024 140 0 0 0 0 0 0 4 
Stencil1D.1.sm_86.ptx 47 : 1024 6272 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 46 : 1024 3200 0 32 32 0 0 0 0 
Stencil1D.1.sm_86.ptx 45 : 1024 9216 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 44 : 1024 5120 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 43 : 1024 6144 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 42 : 1024 258816 0 0 0 128 32 0 0 
Stencil1D.1.sm_86.ptx 28 : 1024 4864 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 87 : 1024 9216 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 41 : 1024 9216 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 29 : 1024 11392 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 88 : 1024 33792 0 32 32 0 0 0 0 
Stencil1D.1.sm_86.ptx 59 : 28 84 0 4 4 0 0 0 0 
Stencil1D.1.sm_86.ptx 30 : 1024 15232 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 89 : 1024 9216 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 60 : 28 252 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 31 : 1024 9344 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 90 : 1024 33792 0 32 32 0 0 0 0 
Stencil1D.1.sm_86.ptx 61 : 28 168 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 32 : 1024 5760 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 91 : 1024 9216 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 33 : 1024 5376 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 92 : 1024 33792 0 32 32 0 0 0 0 
Stencil1D.1.sm_86.ptx 34 : 1024 9728 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 93 : 1024 9216 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 35 : 1024 6400 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 94 : 1024 33792 0 32 32 0 0 0 0 
Stencil1D.1.sm_86.ptx 36 : 1024 0 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 95 : 1024 9216 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 38 : 1024 6144 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 68 : 1024 5120 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 39 : 1024 6272 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 40 : 1024 9600 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 62 : 28 0 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 64 : 28 6664 0 0 0 4 4 0 0 
Stencil1D.1.sm_86.ptx 65 : 28 84 0 4 4 0 0 0 0 
Stencil1D.1.sm_86.ptx 69 : 1024 37056 0 32 32 0 0 0 0 
Stencil1D.1.sm_86.ptx 70 : 1024 42688 0 32 32 0 0 0 0 
Stencil1D.1.sm_86.ptx 71 : 1024 9216 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 72 : 1024 33792 0 32 32 0 0 0 0 
Stencil1D.1.sm_86.ptx 73 : 1024 9216 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 74 : 1024 33792 0 32 32 0 0 0 0 
Stencil1D.1.sm_86.ptx 75 : 1024 9216 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 76 : 1024 33792 0 32 32 0 0 0 0 
Stencil1D.1.sm_86.ptx 77 : 1024 9216 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 78 : 1024 33792 0 32 32 0 0 0 0 
Stencil1D.1.sm_86.ptx 79 : 1024 9216 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 80 : 1024 33792 0 32 32 0 0 0 0 
Stencil1D.1.sm_86.ptx 81 : 1024 9216 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 82 : 1024 33792 0 32 32 0 0 0 0 
Stencil1D.1.sm_86.ptx 83 : 1024 9216 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 84 : 1024 33792 0 32 32 0 0 0 0 
Stencil1D.1.sm_86.ptx 85 : 1024 9216 0 0 0 0 0 0 0 
Stencil1D.1.sm_86.ptx 86 : 1024 33792 0 32 32 0 0 0 0 
