level,arch,app,source_type,sdc_site_mass,share_of_all_sdc_percent
detail,Ampere-RTX3070,AdamW,copy_forwarding_transfer,20754655.000000,0.085360
detail,Ampere-RTX3070,AdamW,memory_data_propagation,90986807.000000,0.374214
detail,Ampere-RTX3070,AdamW,predicate_mediated_selection,1582348.000000,0.006508
detail,Ampere-RTX3070,AdamW,scalar_computation_transfer,68468181.000000,0.281598
detail,Ampere-RTX3070,AdamW,valid_address_substitution,6127502.000000,0.025201
detail,Ampere-RTX3070,Attention,copy_forwarding_transfer,199738580.000000,0.821491
detail,Ampere-RTX3070,Attention,memory_data_propagation,2097867130.000000,8.628178
detail,Ampere-RTX3070,Attention,predicate_mediated_selection,222683838.000000,0.915862
detail,Ampere-RTX3070,Attention,scalar_computation_transfer,814582650.000000,3.350243
detail,Ampere-RTX3070,Attention,valid_address_substitution,1154224.000000,0.004747
detail,Ampere-RTX3070,Convolution1D,copy_forwarding_transfer,93965840.000000,0.386466
detail,Ampere-RTX3070,Convolution1D,memory_data_propagation,187571496.000000,0.771450
detail,Ampere-RTX3070,Convolution1D,predicate_mediated_selection,2604299.000000,0.010711
detail,Ampere-RTX3070,Convolution1D,scalar_computation_transfer,286804951.000000,1.179581
detail,Ampere-RTX3070,Convolution1D,valid_address_substitution,10688395.000000,0.043960
detail,Ampere-RTX3070,Dijkstra,copy_forwarding_transfer,2345800.000000,0.009648
detail,Ampere-RTX3070,Dijkstra,memory_data_propagation,21687284.000000,0.089196
detail,Ampere-RTX3070,Dijkstra,predicate_mediated_selection,1335704.000000,0.005494
detail,Ampere-RTX3070,Dijkstra,scalar_computation_transfer,6425059.000000,0.026425
detail,Ampere-RTX3070,Dijkstra,valid_address_substitution,544520.000000,0.002240
detail,Ampere-RTX3070,GESpmm,copy_forwarding_transfer,22729939.000000,0.093484
detail,Ampere-RTX3070,GESpmm,memory_data_propagation,36070577.000000,0.148352
detail,Ampere-RTX3070,GESpmm,predicate_mediated_selection,48522010.000000,0.199563
detail,Ampere-RTX3070,GESpmm,scalar_computation_transfer,51208357.000000,0.210611
detail,Ampere-RTX3070,GESpmm,valid_address_substitution,10491686.000000,0.043151
detail,Ampere-RTX3070,Gelu,copy_forwarding_transfer,6187837.000000,0.025450
detail,Ampere-RTX3070,Gelu,memory_data_propagation,21194458.000000,0.087169
detail,Ampere-RTX3070,Gelu,predicate_mediated_selection,171668994.000000,0.706046
detail,Ampere-RTX3070,Gelu,scalar_computation_transfer,189940300.000000,0.781193
detail,Ampere-RTX3070,Gelu,valid_address_substitution,16579448.000000,0.068189
detail,Ampere-RTX3070,Gemm,copy_forwarding_transfer,42233898.000000,0.173701
detail,Ampere-RTX3070,Gemm,memory_data_propagation,131989903.000000,0.542852
detail,Ampere-RTX3070,Gemm,predicate_mediated_selection,33734176.000000,0.138743
detail,Ampere-RTX3070,Gemm,scalar_computation_transfer,245498751.000000,1.009695
detail,Ampere-RTX3070,Gemm,valid_address_substitution,1252485.000000,0.005151
detail,Ampere-RTX3070,LayerNorm,copy_forwarding_transfer,280637144.000000,1.154214
detail,Ampere-RTX3070,LayerNorm,memory_data_propagation,205831053.000000,0.846549
detail,Ampere-RTX3070,LayerNorm,predicate_mediated_selection,76018112.000000,0.312650
detail,Ampere-RTX3070,LayerNorm,scalar_computation_transfer,802828693.000000,3.301901
detail,Ampere-RTX3070,LayerNorm,valid_address_substitution,3588058.000000,0.014757
detail,Ampere-RTX3070,MatrixFactorization,copy_forwarding_transfer,106517053.000000,0.438087
detail,Ampere-RTX3070,MatrixFactorization,memory_data_propagation,426780271.000000,1.755276
detail,Ampere-RTX3070,MatrixFactorization,predicate_mediated_selection,6588177.000000,0.027096
detail,Ampere-RTX3070,MatrixFactorization,scalar_computation_transfer,867513380.000000,3.567938
detail,Ampere-RTX3070,MatrixFactorization,valid_address_substitution,30663040.000000,0.126112
detail,Ampere-RTX3070,MatrixMultiplication,copy_forwarding_transfer,70295448.000000,0.289113
detail,Ampere-RTX3070,MatrixMultiplication,memory_data_propagation,357231074.000000,1.469232
detail,Ampere-RTX3070,MatrixMultiplication,predicate_mediated_selection,66818016.000000,0.274811
detail,Ampere-RTX3070,MatrixMultiplication,scalar_computation_transfer,421985846.000000,1.735557
detail,Ampere-RTX3070,MatrixMultiplication,valid_address_substitution,1613162.000000,0.006635
detail,Ampere-RTX3070,Pathfinder,copy_forwarding_transfer,51892649.000000,0.213426
detail,Ampere-RTX3070,Pathfinder,memory_data_propagation,863901156.000000,3.553081
detail,Ampere-RTX3070,Pathfinder,predicate_mediated_selection,63194372.000000,0.259908
detail,Ampere-RTX3070,Pathfinder,scalar_computation_transfer,213778620.000000,0.879236
detail,Ampere-RTX3070,Pathfinder,valid_address_substitution,104533492.000000,0.429929
detail,Ampere-RTX3070,Render,copy_forwarding_transfer,130914039.000000,0.538428
detail,Ampere-RTX3070,Render,memory_data_propagation,637417323.000000,2.621591
detail,Ampere-RTX3070,Render,predicate_mediated_selection,1205312.000000,0.004957
detail,Ampere-RTX3070,Render,scalar_computation_transfer,881301670.000000,3.624647
detail,Ampere-RTX3070,Render,valid_address_substitution,3862624.000000,0.015886
detail,Ampere-RTX3070,Softmax,copy_forwarding_transfer,66505339.000000,0.273525
detail,Ampere-RTX3070,Softmax,memory_data_propagation,253645787.000000,1.043203
detail,Ampere-RTX3070,Softmax,predicate_mediated_selection,24108207.000000,0.099153
